140	1.2
0.000000	0.000000	0.000000
rece2_m.pdb	54.675	87.230	19.860
ligand_m.pdb	-24.507	62.702	8.796
-0.523599	2.682859	-0.817071	138	119	137	1316.231
-0.942478	2.558223	-1.164189	135	120	135	1255.358
-0.314159	2.569130	-0.700837	139	119	139	1252.555
-0.523599	2.572710	-0.934665	138	119	137	1243.193
-0.628319	2.558223	-1.164189	136	121	135	1222.673
-0.628319	2.572710	-0.934665	137	119	137	1221.607
-1.570796	1.572701	-2.528730	127	124	136	1208.176
-1.989675	2.336046	-1.115799	117	133	33	1173.241
-0.942478	2.485945	-1.374853	133	122	135	1168.955
-2.513274	1.912224	0.366565	7	35	138	1154.691
-1.151917	2.485945	-1.374853	132	121	135	1152.623
-2.617994	1.815016	0.278951	8	33	0	1149.080
0.000000	2.738409	2.975671	13	29	114	1146.501
0.733038	2.214075	1.600691	118	123	137	1146.211
0.628319	2.203804	1.756176	119	127	135	1141.178
0.733038	2.099185	1.667006	120	123	136	1139.150
-2.827433	2.048538	0.806623	130	30	125	1134.481
0.837758	2.203804	1.756176	121	124	135	1131.065
-0.209440	2.539516	-0.476942	138	121	138	1130.644
-2.722714	2.134684	0.907065	129	29	124	1130.318
-0.837758	2.558223	-1.164189	135	120	136	1130.055
0.628319	2.321510	1.685664	118	127	136	1129.203
0.733038	2.084401	1.810502	121	125	134	1128.310
-1.466077	2.485945	-1.374853	130	122	136	1125.428
-1.780236	1.393612	1.952016	1	27	110	1121.436
-0.418879	2.682859	-0.817071	0	119	137	1120.359
-2.722714	2.216256	1.020029	130	29	123	1116.488
-1.675516	2.255601	-1.728131	122	139	132	1115.285
-0.314159	2.539516	-0.476942	136	121	138	1111.288
-1.466077	2.747398	1.727166	21	25	116	1110.893
-2.513274	1.793737	0.410270	8	34	138	1109.772
2.827433	1.971438	-2.765415	12	29	123	1108.235
-1.675516	2.645260	1.570203	21	25	116	1107.604
-0.733038	2.572710	-0.934665	137	119	136	1107.207
-1.256637	1.908408	-2.648903	134	114	2	1106.228
-2.722714	2.048538	0.806623	128	29	125	1102.651
-0.837758	1.858863	-3.106022	139	110	7	1102.280
-1.884956	2.442222	-1.195837	114	131	31	1097.432
-1.884956	2.740366	1.374341	22	25	118	1097.165
-3.036873	1.958989	0.712772	133	32	126	1097.060
2.827433	1.898741	-2.875735	12	30	125	1095.127
3.036873	0.534610	2.154808	11	19	16	1092.670
-2.932153	2.005145	0.941012	133	32	127	1090.826
-0.523599	0.142314	2.590387	123	122	26	1089.597
-0.314159	2.830209	2.734943	13	30	115	1089.073
2.932153	2.175711	-2.655523	9	28	119	1087.711
-2.303835	1.139125	-1.924528	119	127	26	1087.665
-1.570796	2.453499	-1.008861	113	129	29	1087.523
2.827433	2.043060	-2.653746	11	28	121	1087.176
-1.466077	2.937409	2.947245	131	35	125	1084.990
-3.036873	1.834787	0.751968	134	33	128	1084.679
-1.884956	2.226002	-1.060248	118	132	35	1084.417
-0.418879	2.460199	-0.822008	137	119	0	1082.707
0.104720	2.738409	2.975671	11	30	114	1081.465
0.733038	2.321510	1.685664	118	125	136	1080.777
-2.722714	2.267390	0.878499	128	27	121	1080.625
-1.570796	1.832690	-0.468440	122	138	35	1080.382
-1.570796	2.645260	1.570203	20	26	115	1079.944
-1.466077	2.838301	1.980061	25	21	117	1079.215
-1.047198	1.307513	1.628003	118	2	12	1078.744
0.000000	2.833517	-3.085508	17	28	116	1078.483
-2.408554	1.793737	0.410270	6	35	138	1078.159
0.628319	2.214075	1.600691	118	125	137	1078.068
-1.989675	2.226002	-1.060248	118	133	35	1076.872
-1.256637	1.975135	-2.539127	134	114	3	1076.188
0.837758	2.321510	1.685664	119	124	136	1076.082
-2.827433	1.833945	-2.320278	110	129	21	1075.814
2.722714	1.954572	-0.859208	4	13	37	1075.118
-2.932153	1.888979	0.982922	133	33	129	1074.309
0.733038	2.203804	1.756176	120	125	135	1074.158
-2.513274	1.815016	0.278951	7	34	0	1073.666
-2.617994	2.216256	1.020029	128	28	123	1073.420
-2.303835	1.115957	-1.787597	120	127	28	1072.976
0.523599	2.307301	1.336200	116	123	1	1072.215
0.000000	2.539516	-0.476942	2	118	139	1071.669
-1.466077	1.707500	-2.531497	130	123	135	1071.452
-2.722714	1.960212	-2.307561	110	127	21	1070.934
0.000000	2.937409	2.947245	12	32	117	1070.933
-3.141593	1.649932	0.576808	134	34	130	1069.898
2.513274	2.931927	-2.728768	115	0	0	1069.823
-1.466077	1.572701	-2.528730	129	123	136	1069.319
-1.780236	2.740366	1.374341	21	27	118	1068.968
-2.932153	2.048538	0.806623	131	31	125	1068.765
-3.036873	0.420680	2.088164	8	20	19	1068.490
2.094395	1.317907	-1.121023	131	26	12	1068.453
-3.036873	1.922616	0.844633	134	33	128	1068.252
-2.408554	1.912224	0.366565	5	36	138	1067.095
0.104720	2.635396	1.848850	117	5	137	1066.786
2.722714	1.865619	-0.952036	2	13	37	1066.657
0.104720	2.833517	-3.085508	15	29	116	1065.841
-0.209440	2.830209	2.734943	11	31	115	1065.190
-0.837758	2.608630	-1.378011	135	122	134	1064.989
-0.209440	2.717705	2.625995	9	30	113	1064.778
0.314159	2.722319	-2.954069	15	29	116	1064.146
-0.942478	2.608630	-1.378011	133	122	135	1063.771
-1.570796	1.634747	-2.426198	127	123	137	1063.591
-2.722714	2.178879	0.767722	128	28	122	1063.273
-1.989675	2.338083	-0.943400	117	136	34	1063.057
0.837758	2.324731	1.511186	119	121	138	1062.499
2.617994	2.036004	-0.757062	8	13	36	1062.085
3.036873	2.307188	-2.656134	7	27	117	1061.375
-3.036873	2.048538	0.806623	133	32	125	1061.214
