      0.000    8.383
     10.000    8.465
     20.000    8.560
     30.000    8.562
     40.000    8.601
     50.000    8.495
     60.000    8.583
     70.000    8.492
     80.000    8.448
     90.000    8.275
    100.000    8.259
    110.000    8.214
    120.000    8.308
    130.000    8.299
    140.000    8.385
    150.000    8.233
    160.000    8.268
    170.000    8.266
    180.000    8.226
    190.000    8.264
    200.000    8.220
    210.000    8.149
    220.000    8.181
    230.000    8.207
    240.000    8.183
    250.000    8.161
    260.000    8.106
    270.000    8.094
    280.000    8.021
    290.000    8.015
    300.000    8.014
    310.000    7.911
    320.000    8.030
    330.000    8.068
    340.000    8.030
    350.000    8.121
    360.000    8.145
    370.000    8.097
    380.000    8.060
    390.000    8.094
    400.000    8.065
    410.000    7.993
    420.000    7.878
    430.000    7.855
    440.000    7.845
    450.000    7.849
    460.000    7.829
    470.000    7.895
    480.000    7.832
    490.000    7.889
    500.000    7.824
    510.000    7.860
    520.000    7.828
    530.000    7.794
    540.000    7.827
    550.000    7.807
    560.000    7.746
    570.000    7.629
    580.000    7.689
    590.000    7.665
    600.000    7.637
    610.000    7.753
    620.000    7.759
    630.000    7.587
    640.000    7.628
    650.000    7.604
    660.000    7.573
    670.000    7.525
    680.000    7.466
    690.000    7.571
    700.000    7.448
    710.000    7.399
    720.000    7.353
    730.000    7.441
    740.000    7.404
    750.000    7.393
    760.000    7.459
    770.000    7.365
    780.000    7.416
    790.000    7.347
    800.000    7.456
    810.000    7.483
    820.000    7.514
    830.000    7.446
    840.000    7.502
    850.000    7.382
    860.000    7.379
    870.000    7.458
    880.000    7.528
    890.000    7.503
    900.000    7.461
    910.000    7.430
    920.000    7.390
    930.000    7.369
    940.000    7.477
    950.000    7.510
    960.000    7.441
    970.000    7.412
    980.000    7.326
    990.000    7.313
   1000.000    7.202
